id,name,relevance_tier,employees,state,website,blurb,notes
9427b451-dc23-43ab-adfe-a688cf68a3e4,Freedom Property Investors,high,213,NSW,https://freedompropertyinvestors.com.au/,Investment property advisory helping clients achieve financial freedom through data-driven portfolio building and off-market property strategies.,9 contacts in Individuals list.
59c41abe-3e89-4ee2-81f1-7a22aa905ef7,Empower Wealth,high,88,National,https://empowerwealth.com.au/,Multi-award-winning property and wealth advisory. Co-founded by Ben Kingsley and Bryce Holdaway. Buyers agency + portfolio planning + financial planning.,"88 employees. Branches: Brisbane, Melbourne, Perth, Sydney. Consolidate state branches into this entry."
b5d8e0e6-cf48-4207-bbd2-fb21ab7a5e35,Positive Real Estate Australia,high,85,NSW,https://positiverealestate.com.au/,Property investment education and advisory coaching clients to build cashflow-positive portfolios for financial independence.,8 contacts in Individuals list. Coaching + acquisition model.
5def037b-deaa-4057-ba92-769cc02a25e0,InvestorKit,high,57,National,https://investorkit.com.au/,Investment property buyers agency and technology platform. Buyer's Agency of Year 2023 & 2024.,57 employees. Awards recognition. Investment-focused.
9d439f00-54f0-437c-b42b-08ba09cafc0e,Metropole Property Strategists,high,55,VIC,https://metropole.com.au/,"Industry-leading investment property strategists with 40+ years experience and $6B+ managed, helping investors build multi-property portfolios with strategic wealth planning.",1 contact: Kate Forbes (National Director). Founded by Michael Yardney. 40+ yr track record.
7dd5142a-0173-45d3-a9d7-553ab3233121,Australian Property Scout,high,43,National,https://australianpropertyscout.com.au/,Major buyers agency specializing in investment property acquisition across Australia. Industry thought leader and content creator.,43 employees. Investment-focused national operation.
9c0946fd-7375-41eb-9dbe-56cf80d8c715,OpenCorp,high,42,VIC,https://opencorp.com.au/,"Property investment advisory integrating finance structuring, property research, and portfolio management to guide investors through multi-property acquisition.",7 contacts in Individuals list.
83e6941e-d99f-41d5-a55e-7dfd4f8b4e48,Dashdot,high,35,National,https://dashdot.com.au/,Property portfolio growth partner using proprietary tech and predictive models. #12 Fastest Growing Company Australia 2023.,Technology-driven. Investment-focused.
12e762b2-065c-4799-825c-8e9f82188581,Henderson Advocacy,high,25,NSW,https://henderson.com.au/,Founded 2021 by Jack Henderson. Rapidly growing (400% YoY). Investment and wealth education focus. Strong social media presence.,Founder built $23M portfolio by age 32.
513af560-1519-4367-b0c1-e445a7696a7d,inSynergy Property Wealth Advisory,high,23,NSW,https://www.insynergy.net.au/,Integrated property investment advisory combining finance brokering and strategic acquisition to help investors optimise borrowing and build scalable portfolios.,2 contacts in Individuals list. Unique integrated education + finance + acquisition model.
17ba4a54-a411-48b4-b714-24417732d89a,ASPIRE Property Adviser Network,high,20,VIC,https://www.aspirenetwork.com.au/,Network of independent property investment advisors providing unbiased investment advice.,"Network model, not single firm. PIPA Board represented."
1ea21a32-117b-43a6-8a2e-bbfd9d6c34a5,Fresh Start Advisory,high,16,National,https://freshstartadvisory.com.au/,Investment property buyers agency. Specializes in high-performing properties vetted against 72 data points. Targets high-income earners.,Exclusively investment-focused; SMSF expertise
010ef868-30ba-46ae-baf1-cb7c8c7e024e,Ramsey Property Wealth,high,15,QLD,https://www.ramseypropertywealth.com.au/,"Premium property investment advisory offering buyers advocacy, portfolio planning, and mortgage advice. Multi-award-winning.",Investment-focused advisory combining multiple services.
8c55f6ac-0798-4d0d-a2a9-cd8abb94180d,Search Party Property,high,10,NSW,https://searchpartyproperty.com.au/,Investor-exclusive buyers agent providing data-driven property sourcing and portfolio strategy guidance across all major Australian markets.,2 contacts in Individuals list.
be0d1e5a-b23a-4b1e-9075-6663be36f119,Compound Property,high,7,National,https://compoundproperty.com.au/,"Data-driven investment buyers agency sourcing high-growth and high-cashflow properties across Australia. Founder Ben Carrington uses data system analyzing 15,000+ suburbs.",Exclusively investment-focused; small team
