Section,Step,Action,Explanation,New/Modified,Key File(s)
Phase 1A: Types & Edge Function,1.1,Create NL response types,"Define the NLParseResponse interface — the contract between the edge function and the frontend. Covers initial_plan, modification, explanation, and comparison response types. Also defines ChatMessage types for the UI.",New,src/types/nlParse.ts
Phase 1A: Types & Edge Function,1.2,Create the nl-parse edge function shell,"A Deno edge function that accepts POST { message, conversationHistory, currentPlan }, calls Claude Opus (claude-opus-4-6) via the Anthropic SDK, returns structured JSON. Follows the same pattern as existing create-checkout and stripe-webhook functions. Uses ANTHROPIC_API_KEY env var. We use Opus for maximum extraction quality — will optimise model choice later.",New,supabase/functions/nl-parse/index.ts
Phase 1A: Types & Edge Function,1.3,Build the system prompt,"The most critical single file. Tells Claude how to extract structured data from plain English. Includes: property type templates (inlined from property-defaults.json), Australian financial conventions, growth curve tiers, default assumptions (IO loans / 6.5% / 88% LVR), the JSON output schema, and 5+ diverse input/output examples. Must handle: ambiguity requiring decisions not clarification ('a few' → 4), numbers without units ('earning 240' → context decides $240k each or combined), Australian conventions (savings = monthly, income = annual).",New,supabase/functions/nl-parse/system-prompt.ts
Phase 1A: Types & Edge Function,1.4,Deploy and test the edge function,"Deploy nl-parse to Supabase, set the ANTHROPIC_API_KEY secret, and test with curl. Verify it returns valid NLParseResponse JSON for a sample input like 'Jane and John both earning 120k with 80k deposit want to buy around 650k in VIC'.",Deploy,supabase/functions/nl-parse/
Phase 1A: Types & Edge Function,1.5,Run initial prompt test bank,"Test the system prompt against 10 structured scenarios BEFORE building any UI. Scenarios: (1) single income first-timer, (2) couple equal income, (3) couple unequal income, (4) vague language — 'a few properties around 600k', (5) numbers without units — 'earning 240 saving 3500', (6) ambiguous price vs deposit — 'have about 650', (7) existing portfolio, (8) high income multi-property, (9) minimal info — 'a client wants to invest in QLD', (10) mixed units — '120k each and 3500 a month'. Fix prompt for any failures. This is the start of the iterative prompt loop — it continues throughout all phases.",Test,supabase/functions/nl-parse/system-prompt.ts
Phase 1B: Data Mapping Layer,1.6,Build mapToInvestmentProfile,"Takes NLParseResponse.clientProfile and .investmentProfile → returns a partial InvestmentProfileData shape that can be passed to updateProfile(). Maps: deposit → depositPool, income → borrowingCapacity calc, savings → annualSavings, timeline → timelineYears, goals.",New,src/utils/nlDataMapper.ts
Phase 1B: Data Mapping Layer,1.7,Build mapToPropertySelections,"Takes NLParseResponse.properties[] → creates PropertySelection (type counts), propertyOrder (sequence), and PropertyInstanceDetails for each property. Uses getPropertyInstanceDefaults() as the base template, then overlays Claude's values (price, state, growth tier, LVR, loan type). The other ~30 fields per property come from defaults.",New,src/utils/nlDataMapper.ts
Phase 1B: Data Mapping Layer,1.8,Build mapModificationToUpdates,"Takes a modification-type NLParseResponse + current plan state → returns the specific context updates to apply. Handles: move property timing, change price, change state, add/remove property, change savings, change LVR. Each maps to specific context setter calls.",New,src/utils/nlDataMapper.ts
Phase 1B: Data Mapping Layer,1.9,Unit test the data mapper with hardcoded responses,"Before wiring to the edge function — feed hardcoded NLParseResponse objects through the mapper functions and verify the output matches what the contexts expect. This catches type mismatches early without needing the full pipeline.",Test,src/utils/nlDataMapper.ts
Phase 1C: Chat UI,1.10,Build ChatMessage component,"Renders a single chat message. Four variants: user (dark bubble / right-aligned), assistant (light bubble / left-aligned with small bot avatar), system (centered green pill), and option-card (clickable list items with icon + bold title + one-line description + arrow). Styled with Tailwind + shadcn to match existing dashboard.",New,src/components/ChatMessage.tsx
